Seq. ID. 	Class 	AMP Probability
101	AMP 	0.5315
102	AMP 	0.8375
103	AMP 	0.946
104	AMP 	0.957
105	AMP 	0.7235
106	NAMP 	0.4
107	AMP 	0.9415
108	NAMP 	0.024
109	NAMP 	0.2545
110	AMP 	0.9945
111	NAMP 	0.229
112	AMP 	0.7885
113	AMP 	0.735
114	NAMP 	0.0165
115	AMP 	0.917
116	AMP 	0.913
117	AMP 	0.816
118	AMP 	0.583
119	NAMP 	0.121
120	AMP 	0.501
121	AMP 	0.9145
122	AMP 	0.843
123	AMP 	0.879
124	AMP 	0.75
125	AMP 	0.9085
126	AMP 	0.731
127	AMP 	0.563
128	AMP 	0.991
129	AMP 	0.5615
130	AMP 	0.741
131	NAMP 	0.4655
132	AMP 	0.919
133	NAMP 	0.3015
134	AMP 	0.7355
135	AMP 	0.818
136	AMP 	0.5855
137	AMP 	0.834
138	AMP 	0.798
139	AMP 	0.5545
140	NAMP 	0.202
141	AMP 	0.758
142	AMP 	0.9095
143	AMP 	0.5905
144	AMP 	0.9845
145	NAMP 	0.1735
146	NAMP 	0.1
147	NAMP 	0.185
148	AMP 	0.8345
149	AMP 	0.5055
150	AMP 	0.9755
1	NAMP 	0.3395
2	NAMP 	0.475
3	NAMP 	0.316
4	NAMP 	0.3385
5	NAMP 	0.451
6	NAMP 	0.3405
7	NAMP 	0.361
8	NAMP 	0.444
9	NAMP 	0.304
10	NAMP 	0.272
11	NAMP 	0.34
12	NAMP 	0.283
13	NAMP 	0.2475
14	NAMP 	0.3185
15	NAMP 	0.3855
16	NAMP 	0.4435
17	NAMP 	0.328
18	NAMP 	0.481
19	NAMP 	0.29
20	NAMP 	0.3415
21	NAMP 	0.356
22	NAMP 	0.2735
23	NAMP 	0.346
24	NAMP 	0.3275
25	NAMP 	0.233
26	NAMP 	0.4325
27	NAMP 	0.393
28	NAMP 	0.2775
29	NAMP 	0.265
30	NAMP 	0.355
31	NAMP 	0.362
32	NAMP 	0.3695
33	NAMP 	0.357
34	NAMP 	0.371
35	NAMP 	0.3435
36	NAMP 	0.4675
37	NAMP 	0.4465
38	NAMP 	0.3725
39	NAMP 	0.244
40	NAMP 	0.4785
41	NAMP 	0.298
42	NAMP 	0.3495
43	NAMP 	0.3765
44	NAMP 	0.429
45	NAMP 	0.4365
46	NAMP 	0.374
47	NAMP 	0.3795
48	NAMP 	0.279
49	AMP 	0.534
50	NAMP 	0.401
